pt_mu1,pt_mu2,pt_fjt,M_fjt,S_T,MET,DR_fjt_mu1,DR_fjt_mu2,DR_mu1_mu2
104.224,42.5477,129.257,5.57704,337.556,64.4401,3.04252,0.682469,2.99974
49.2837,48.4342,84.4385,23.6499,226.941,108.255,2.25452,1.15586,2.63034
65.8327,52.3414,94.2207,10.6223,293.675,67.8526,3.52003,0.929119,3.13797
81.713,77.3239,92.4484,15.4247,317.017,89.4763,3.0489,0.53574,3.09444
37.9948,29.5708,60.1582,10.8365,141.488,100.759,1.45192,1.03229,1.56614
93.5974,65.3637,83.0611,10.0475,379.2,51.9852,1.39698,2.55967,2.73998
172.341,112.713,245.957,26.9351,686.996,69.4598,2.68886,3.12899,1.46656
53.0648,24.0025,158.592,48.8214,626.844,123.405,3.03859,1.77996,4.19702
43.0628,20.3432,84.9188,25.2391,145.131,38.5032,3.11924,1.38818,2.63439
34.09,26.1039,86.5764,26.3956,290.43,24.1978,3.09094,3.17772,1.45937
78.3565,20.1039,85.1711,14.6341,323.621,78.4922,3.36733,3.03793,1.43028
67.5085,55.0429,84.8716,30.1649,237.102,68.5639,2.13343,2.79716,1.03502
45.1622,27.0529,148.589,50.1451,315.147,114.653,2.77455,1.5015,2.51299
61.9232,31.4558,100.303,44.8858,476.891,119.647,1.66719,1.15509,2.81485
50.2645,43.7313,54.0127,8.17596,194.726,72.354,2.92939,3.25929,0.778562
59.3767,46.7932,98.1944,27.4392,349.079,92.736,1.42154,3.79865,3.63393
36.3303,23.295,71.5227,11.7758,174.138,100.845,2.87852,2.07568,1.54021
27.7643,25.3426,248.502,16.7991,642.953,81.3449,2.72462,0.933651,2.71779
120.752,38.3277,214.798,17.7524,680.47,134.474,2.87885,0.752675,3.1533
83.0966,22.2319,88.4433,27.4327,278.436,101.969,1.16363,1.7015,0.575495
78.3904,62.7366,116.152,27.8928,391.645,51.0537,2.01579,2.05633,3.01265
29.6972,23.2123,102.81,6.19663,295.58,78.7149,2.00989,3.08069,1.67126
80.7693,35.7423,128.826,13.2341,250.157,30.0482,3.29006,2.47104,1.26727
72.4804,50.9719,104.773,14.5101,267.667,129.648,1.01053,1.94529,2.6288
54.0674,22.6228,72.1557,16.2121,238.279,54.7454,2.58399,1.62249,1.20567
49.0294,27.0124,48.0364,13.5418,146.413,86.9637,2.22246,2.40697,0.320811
43.1841,28.4118,62.8009,7.90445,235.997,40.2153,3.46731,2.373,1.09704
49.7294,41.4735,51.2243,13.8124,191.335,45.1228,0.929217,2.64473,2.75399
42.5661,38.6011,53.1151,8.179,138.644,83.5308,1.79666,2.75075,3.06522
58.2085,27.9593,44.3705,4.35759,162.505,18.2633,2.7292,2.91119,1.55296
62.6108,39.2689,59.0653,10.4728,169.669,38.1716,2.22841,2.48993,1.69059
33.9369,21.9392,66.2548,13.4292,209.011,62.4857,1.18935,2.78584,1.81171
38.1418,32.8503,114.887,14.6732,500.086,147.7,3.25282,2.99711,3.3156
86.1721,26.4996,40.4178,8.30119,220.863,72.1468,1.88706,1.19873,2.57309
116.103,28.0875,119.66,9.40703,365.431,69.1502,2.81003,1.22903,2.72107
128.058,46.6818,142.17,25.0147,424.355,94.955,2.88992,0.642676,3.53066
113.721,78.0416,43.0532,9.38263,317.285,13.1925,2.72251,1.61465,2.51171
92.9625,83.9309,55.7475,21.9026,300.987,30.3451,3.32242,2.14745,1.66475
50.2159,48.6372,430.855,29.3888,1137.15,43.7664,3.36774,0.700312,3.78786
56.898,28.6443,54.0526,21.4127,193.3,87.8061,3.6489,2.47882,1.19034
215.249,48.5057,222.709,46.2286,594.645,70.8118,3.05375,3.09339,2.85305
255.412,198.0,137.196,15.228,1053.55,202.011,0.672027,2.34635,2.3962
139.353,26.9358,394.258,52.0349,777.683,384.101,3.3368,2.08592,1.68396
33.5755,25.383,77.708,21.217,238.126,84.8175,1.35045,1.95059,0.664842
56.0072,51.3693,105.81,47.0226,280.971,47.376,2.47042,2.56269,0.412842
29.4877,25.6499,63.4739,5.65762,200.135,97.4377,1.62982,1.23724,2.86391
105.256,51.4835,82.5001,11.8093,377.401,68.4874,1.03559,2.97557,2.03606
31.7208,20.9941,113.081,13.0323,249.662,80.9129,1.76116,1.8858,3.02874
69.0889,36.9542,69.3134,10.4974,255.178,129.075,1.0396,2.99891,2.62236
189.238,58.0607,40.7224,12.4801,297.133,94.6322,2.01496,1.73266,2.70361
37.7597,26.111,40.7474,8.9505,136.801,33.2132,2.0673,2.39251,1.95885
69.1593,40.0194,111.793,29.6616,264.875,109.578,2.98541,2.12983,2.13615
26.0866,20.9249,76.8931,43.4605,171.965,117.605,1.83944,1.12867,1.86363
114.54,70.734,99.7747,34.5239,440.756,139.561,1.16278,3.00652,3.31273
115.499,42.6246,138.647,48.2969,428.659,88.8385,2.34564,1.74963,2.00472
276.114,48.5707,70.6558,13.8552,399.014,177.005,2.53681,0.825478,3.06483
61.5644,39.4022,70.304,18.7415,236.979,41.1747,3.06021,2.46215,1.7275
68.2029,28.1938,97.5082,17.1388,339.686,9.23146,1.61383,2.57594,1.02833
59.6854,30.3367,146.759,52.7078,536.468,57.8827,2.1354,2.84638,3.14611
81.2744,63.5418,63.5305,8.29255,315.064,71.1521,1.54631,2.5993,3.59592
30.1301,30.0247,76.4966,18.6165,224.385,5.1466,2.10905,0.746129,2.61394
52.9347,43.3968,127.782,46.9424,323.245,83.8243,3.70286,4.14018,1.25822
40.6566,37.5721,110.226,33.3806,263.705,92.1312,2.71352,3.01526,1.12151
115.639,81.3903,63.9528,22.3485,258.013,111.847,1.35779,2.6241,3.05338
63.4902,28.9384,140.875,17.4776,407.27,54.8796,2.5857,2.26143,0.813143
34.9479,27.5585,57.5651,15.8073,128.302,77.2566,1.801,1.57925,0.224323
47.0374,37.2456,83.8519,11.3686,253.106,38.3283,1.31357,4.39275,3.70548
114.585,22.346,219.081,51.1507,537.334,81.3881,2.8319,1.43555,1.3968
51.099,37.9468,165.9,29.3234,594.156,99.7201,1.50282,3.81361,2.36896
114.386,50.9919,154.509,26.6788,372.874,53.0752,2.93281,2.39206,1.32536
99.584,75.4363,107.91,32.9299,330.366,37.3252,1.91518,2.8865,1.8926
82.0953,25.4125,196.429,17.0584,448.634,206.536,1.10416,1.82134,2.41488
96.5923,30.2118,57.1311,6.54941,203.083,21.6797,3.50912,1.28255,2.3594
40.3855,22.4004,111.856,23.0198,339.799,98.4068,2.38878,0.831564,3.21473
113.213,37.0284,193.319,45.0888,429.577,50.9669,3.19173,3.53179,1.32977
58.6663,39.9965,63.6796,20.5969,270.429,88.3812,3.15137,2.38171,1.05104
43.6957,29.3144,108.296,11.2501,306.653,74.5543,3.05147,1.71973,3.12877
65.2743,43.9427,120.738,21.8533,333.316,110.635,3.14741,1.59561,1.62308
118.65,51.0095,73.2423,13.8585,305.599,119.18,1.26243,1.03216,2.23571
67.6799,66.2884,68.4725,19.3915,306.44,34.6001,2.22325,2.46164,2.00577
78.853,22.5149,71.5492,11.8779,237.134,93.8265,1.63214,1.98608,1.08119
67.5284,42.5893,125.294,37.0418,348.104,181.217,2.92139,3.64171,1.84402
105.149,63.6958,68.0672,19.5657,318.571,90.1835,2.97479,1.49164,3.18533
113.051,91.3928,164.071,55.0863,533.793,83.899,0.946883,4.34759,4.1223
166.408,102.142,256.023,49.8257,602.995,1.98949,2.43324,3.15104,1.37764
70.2132,42.0192,58.8725,17.4281,200.227,34.014,2.55097,1.65407,3.01611
193.213,52.1275,127.057,18.3715,608.625,39.611,3.00243,0.916188,3.28495
101.51,56.8977,81.7623,10.7551,422.056,69.7906,3.29567,2.42865,1.69084
108.905,35.5229,81.2811,7.97611,267.18,47.809,2.85783,2.3686,1.30941
94.9077,69.4292,297.69,73.1293,551.019,73.5693,3.58709,2.8925,1.72415
42.1121,41.1638,49.5979,13.7072,322.437,36.5618,1.69015,2.35483,2.57292
36.4798,24.676,61.1002,10.7352,249.327,134.022,2.5934,2.02006,1.8497
79.9067,31.2681,120.358,24.2682,246.003,77.9077,2.41229,2.48457,1.52156
61.7387,58.9939,77.5162,16.3675,209.541,35.2685,2.50606,2.49237,1.56268
85.3266,53.5503,85.4956,21.9981,337.641,62.9699,2.53908,2.22955,1.85778
61.844,47.9825,60.6664,22.8655,204.046,71.8173,1.58387,3.14269,1.94219
43.0615,31.3911,74.6124,14.2516,245.213,41.6502,2.09813,1.38647,0.774124
32.3938,23.0831,121.08,10.4041,217.035,124.591,1.8248,1.74847,2.11149
58.5664,55.932,111.484,13.0743,259.742,88.1216,0.589936,2.28773,2.61984
76.2003,30.6034,201.159,75.2691,471.258,55.3399,2.50472,2.85899,1.56819
51.707,27.6065,105.106,20.6691,310.491,44.7541,0.647851,3.29176,3.45886
115.493,50.3384,114.445,32.4846,298.219,70.4981,2.61506,1.44065,2.85715
79.9993,22.8443,78.1995,13.0074,288.611,168.04,3.78641,3.65003,1.88169
75.8643,21.778,94.8797,7.78203,306.85,50.4645,2.40413,2.43206,2.81882
54.2058,25.8236,174.933,22.9651,367.98,170.053,2.96643,3.99897,3.12866
29.8214,25.8836,56.5765,11.1018,121.682,36.8177,2.52626,3.28816,2.18676
52.8386,39.7472,91.7834,14.6218,236.727,59.2021,2.6326,3.55003,1.88828
71.0551,45.8705,84.4422,11.5786,243.985,58.1994,2.39126,2.176,1.54929
216.723,164.034,72.7057,10.8875,625.463,91.9506,2.99178,1.10266,3.05605
41.6712,32.0338,78.1449,26.0374,227.042,92.0597,2.6425,1.38253,3.70747
59.5319,47.0828,70.2322,19.9386,295.727,15.0996,1.65589,1.62303,3.22694
154.759,43.5736,47.3311,9.01358,296.706,107.749,2.34815,0.711229,1.79506
75.2888,37.4413,165.07,16.7421,584.468,29.5152,5.12834,4.84615,0.539624
75.5127,36.1048,40.8847,19.7897,202.259,40.3594,3.64144,2.37888,1.34362
87.1209,62.2462,42.4957,12.1886,250.966,27.4317,2.62269,2.10537,1.71063
61.849,31.1368,111.523,32.5157,269.827,27.4988,2.82329,3.10878,0.323287
258.299,144.152,57.61,18.583,527.863,79.6801,2.84329,0.736676,2.76155
72.9951,23.4195,95.7182,15.8073,370.131,21.469,3.57703,2.37293,1.33327
36.3428,21.4411,62.0224,11.3188,216.546,38.0115,1.55828,4.01059,3.25319
61.5118,60.955,62.5237,5.75753,238.777,66.3729,3.1425,3.28034,1.46851
93.4836,66.1949,112.487,11.4887,358.037,73.9714,3.13349,1.09766,2.04944
40.1334,23.4541,90.8663,17.63,183.282,75.8918,2.71745,1.43721,3.55712
71.9309,46.3859,134.833,25.9457,380.401,52.3497,2.76527,1.38378,1.97371
84.6489,84.5014,147.78,27.4239,422.583,23.7322,2.41105,1.31303,2.82145
52.4503,29.511,61.2196,11.8085,244.749,56.6272,2.99007,1.58369,2.63062
109.237,78.3969,65.5728,10.5323,315.586,88.4648,1.21586,2.43717,1.58001
92.0612,71.9837,106.78,25.8529,481.283,81.8058,2.39303,1.06155,2.83353
57.2496,24.1715,70.1985,22.8444,241.402,57.9963,2.03931,1.27459,3.19669
61.2127,20.6654,124.726,24.4804,271.23,70.3148,2.9638,0.594526,3.3616
54.556,49.1308,93.6854,19.8581,270.084,48.8253,3.09298,2.88145,0.429306
62.2752,39.0445,76.9431,11.4791,246.125,20.3595,3.04665,1.46066,3.66688
82.3577,31.4176,102.383,14.5429,389.531,88.9307,2.11225,2.18672,2.74935
77.9813,69.9186,178.337,73.5444,586.743,65.4656,2.83554,2.62014,0.465363
106.347,80.4297,48.6293,9.46492,326.483,50.628,3.01324,3.84638,3.66499
56.6408,41.6188,52.458,18.3207,197.923,64.9387,1.44454,2.34107,1.01977
102.925,30.5239,96.0309,9.68936,258.751,54.4345,3.99393,2.52485,2.1669
54.0451,49.2102,125.391,28.0025,248.271,115.575,2.27137,1.84766,2.66659
51.2832,37.6996,64.039,11.8126,193.104,39.5832,2.2571,1.92033,2.52196
