pt_mu1,pt_mu2,pt_fjt,M_fjt,S_T,MET,DR_fjt_mu1,DR_fjt_mu2,DR_mu1_mu2
64.1475,20.1273,61.0123,15.9133,145.726,12.1945,3.42935,1.70986,2.43097
36.471,32.616,41.5262,7.60598,140.078,3.35721,2.95581,3.22323,2.91153
130.891,53.454,174.915,53.092,500.252,18.9826,2.59695,3.06277,1.09198
54.6607,40.4163,45.7618,11.7901,174.322,5.70631,4.88516,3.50692,2.15603
74.5572,29.4174,61.5104,7.83528,206.73,10.8521,3.52536,2.56802,2.16101
115.639,20.0333,68.3133,11.8796,219.041,8.31544,3.12439,0.7481,2.53286
67.0697,34.98,54.4089,10.3759,218.121,25.518,1.96083,1.81676,2.52622
30.609,20.4333,60.0547,5.5662,190.818,28.6633,1.67993,1.51058,3.1133
108.119,23.1314,110.728,34.728,242.215,11.6381,3.17499,2.87124,1.70986
77.9442,31.4634,109.677,5.41812,257.496,4.60311,2.4941,2.34158,2.09219
51.6554,43.447,111.295,21.3355,281.839,76.1605,2.4064,3.84933,1.95062
85.155,22.0977,87.574,23.9949,192.657,15.5084,2.59247,0.924154,2.90621
27.1337,25.5702,129.888,11.5716,397.682,10.4642,1.07485,2.92551,3.57324
29.2154,23.7841,127.17,-1.90735e-06,283.31,13.901,1.47416,0.508969,1.17532
82.5255,31.1015,76.3822,36.6492,230.317,13.1862,2.81838,2.24879,1.76068
58.2768,45.3076,42.9092,4.30331,154.247,3.00779,2.1222,2.27117,2.0159
37.023,27.4758,70.877,9.24413,216.115,15.6269,2.37581,3.11468,2.53963
39.5323,22.5589,92.8965,6.81776,219.637,16.0234,3.28204,2.1428,2.67412
75.7078,64.1605,119.903,26.3559,332.681,2.77917,3.10307,2.22272,1.36397
75.6048,42.4385,59.3039,30.7696,289.866,15.376,2.89812,2.12502,1.70887
74.7801,31.6127,47.254,6.78141,176.502,5.54056,3.51582,1.87847,1.90882
67.3843,34.2203,41.4746,14.0339,141.336,11.1265,3.59774,1.94328,2.31891
60.4713,26.2397,43.0936,4.90961,129.74,6.15289,2.70263,1.49105,2.62072
68.6646,30.8293,48.0298,9.11341,147.057,3.84302,3.95637,2.25157,2.81823
129.652,65.0272,175.476,19.3275,397.866,26.9696,3.75211,4.37268,0.949685
71.9415,24.3225,250.671,48.7535,559.078,99.6372,2.89717,3.77109,3.08391
60.6159,40.2828,55.5064,9.94028,220.057,10.3993,2.26878,2.72955,1.84771
58.0183,43.9393,87.6946,9.90928,225.351,15.1574,3.52843,2.04402,1.85205
209.433,21.5852,192.684,34.8519,566.32,17.8258,2.96616,2.89338,1.44784
73.6097,37.5208,63.4112,12.578,207.364,10.4819,2.01841,2.50073,1.95436
165.771,23.3742,149.507,11.5769,344.384,9.17727,2.97362,1.75129,1.6632
130.059,27.0304,217.5,78.0263,461.58,11.3807,3.07965,2.12742,1.43139
49.9797,27.0457,63.8738,8.11524,143.937,7.8456,3.25203,2.44535,2.29211
78.7643,24.5051,66.8295,7.05118,171.952,2.44012,3.87282,2.01425,2.44098
55.4761,45.7351,56.2618,12.3151,156.733,7.99367,2.41685,2.07771,2.03536
139.989,78.3509,161.535,25.4933,460.745,12.7369,3.15761,3.0456,0.812778
52.1456,35.2098,83.1829,14.29,371.059,18.5182,3.01773,4.77598,2.46395
56.0213,32.9559,79.6159,9.2726,215.886,4.019,2.35886,2.29452,2.71724
86.2359,25.8093,66.3317,20.1795,167.102,59.5074,3.96202,4.02573,2.36255
49.6821,43.1848,49.9716,15.0917,191.012,13.3245,4.85466,2.87596,2.21396
51.5079,31.2127,71.3777,9.0943,160.424,0.579617,2.50731,2.55862,2.00844
32.9404,25.1732,70.0397,7.1821,134.984,3.84466,3.40937,3.20583,2.49657
80.7424,62.1516,99.5158,25.4123,277.847,14.5326,3.11588,2.83429,1.20998
110.077,35.5754,68.2556,12.4557,220.588,7.18359,3.1943,0.655172,2.53913
63.6808,59.4108,74.1895,23.3026,232.33,1.28403,3.20743,2.0681,1.63818
107.817,31.5283,95.5176,4.10709,244.273,9.56914,2.94865,2.14345,1.58157
35.2821,24.4891,44.3982,6.23314,107.758,7.86852,2.60006,4.38995,2.38576
58.3836,20.2979,51.87,5.34989,136.343,23.0381,3.04901,3.55796,2.35846
73.7696,33.9068,45.7306,16.0668,148.814,16.4336,2.82583,1.81103,2.11658
64.4645,51.8736,55.4924,5.40329,175.741,26.8993,1.83584,2.72122,1.96627
88.5761,32.917,118.301,17.0249,246.146,28.081,2.85711,1.58239,1.98096
124.386,41.652,68.3082,8.78669,299.014,5.43964,3.0307,1.97466,1.28738
99.4408,68.2159,159.08,12.434,329.069,5.62996,3.2889,3.67264,1.07351
96.382,23.6762,49.2514,14.4233,175.119,15.6214,2.96313,1.46229,2.42381
63.1355,26.2008,45.5838,6.61436,138.161,9.70641,4.11406,2.48656,2.51401
52.8394,43.3782,75.5143,7.95966,228.109,12.5149,2.74095,2.88255,2.35312
51.9714,49.9562,42.5622,2.87538,175.409,12.6859,1.35021,2.82403,2.19764
42.0622,25.0299,45.7226,2.87835,116.401,5.33655,3.14031,2.48149,2.40476
98.0011,31.4903,44.9423,14.3811,245.118,9.82988,3.68659,2.6896,1.86216
48.3229,21.1486,40.1695,16.218,104.649,8.767,3.16443,1.3628,3.11347
61.31,34.7284,52.9089,15.7836,204.293,21.2551,1.95316,2.63308,2.27735
65.3646,55.7239,64.0082,15.4236,242.236,8.6699,3.29059,3.04476,1.4879
67.8305,50.5168,126.987,37.6099,289.466,7.07084,2.70484,2.56428,1.4008
72.8163,35.3835,56.5053,3.77879,179.02,2.2668,3.085,1.70802,2.4572
55.7537,32.2984,76.4425,2.16752,287.898,15.286,3.46315,2.36148,2.04123
51.9443,48.1323,57.1938,11.4427,157.594,12.8839,3.03135,2.70176,2.19071
63.6079,57.3837,65.1606,11.1528,207.985,10.9079,2.80274,2.20382,1.62872
64.884,39.4986,45.3676,11.4393,184.291,11.0179,3.15575,1.737,2.76334
71.4918,54.6752,80.0003,9.04838,214.694,4.72696,3.17042,2.66872,1.65646
